"ASV","group"
"000213a755d5da09d381fe3215b1ebc5","Others"
"00038cf8efa9dce3ce68504e32337c18","Others"
"0005af3e39f85478242c0e9a8def72cd","Others"
"0009cb5856c2a9cc476fdad94e7dc814","Others"
"000a0e6e0f8c7a6ff7614221ccf7f7f6","Others"
"000c6d8d1b29136b687ba3fae92a9827","Others"
"000f33d3f2b2ebbd41af158fb4fc54d6","Others"
"001717d14584c0eef4d6c2b849f0df21","Others"
"0018ac8e616bbd962c5874f046660c6d","Others"
"001b2b8e7ab7480a865e5dd30a4b9799","Others"
"0021c047aa7adc4dba28710866e55c4f","Others"
"0023d547f724fc419d6c6554a6b4e100","Others"
"002609775996f6d53a08357ce2a19397","Others"
"00263c937de6e17c0d30a738a61b4af6","Others"
"002ccbb03e3271154badb522860b9d43","Others"
"002fe9d081cb8df88fd047c6d5df1017","Others"
"0033878175691a052690c0b7ded8383a","Cryosphere"
"003889228fb019d22249225289a1a2d7","Cryosphere"
"003b4c1781a395ba70d4f6d713a32e26","Cryosphere"
"003d32f45a8d73307d8d9dea31511591","Others"
"003ed529b84e78838aebc5474b8ba031","Others"
"003fe66bf64984f630e059bbb706fb95","Others"
"0042029930ed1ce3bb1480a587281e35","Others"
"004ba6bec69a62b85ebad75b72352af5","Others"
"00518bd06b3bf226d5aad2f409115919","Others"
"00528b02d25e14c51a837edabf7b379e","Others"
"0053120f59bc2582464590a3c1dc6819","Others"
"00538e116f8697796b4d9e9c4205d557","Cryosphere"
"005492b0ca58e783a7dbed6970e04ab2","Others"
"0054fac36846568837edc51646561120","Others"
"005c97002792697a0eb0e2c60c1d0453","Others"
"005e6d51f32fde1af4d36fc48f060d61","Others"
"006020815d9223520c3a2e2de75ba9bd","Others"
"007231f0e04f0f66979eaa32577be9c9","Others"
"0074faec8ef09354aebcd01edcb334b4","Others"
"007f55700be669555d8919daeed7a7f5","Others"
"00814c9e44fc13a4ffb18c9d641e020c","Others"
"00826107fe9722129118285e27ef9f09","Others"
"0084ed03930df7832e99458b5a914026","Cryosphere"
"00863e06a1fcd42fa316b9982e6436c6","Others"
"008aa333579374386d5929a6ae03fc96","Others"
"008b15c1f7236a192267ad74ca7384a8","Others"
"008d452f0fd198d65f82dced81334454","Others"
"008d6cf3ed63ea94006e8b2dad887f46","Others"
"009264929a078f6263ead0662c85639a","Others"
"00960294fc9a38b25d80cee5642b2b1e","Others"
"009752bb4b7ce2e93cebe8b9a8960d46","Cryosphere"
"009c34d4847c88130ad337a2ac55426c","Others"
"009d6c972627405dafe7dbc851ca3558","Others"
"00ad10a405730dcfd7b50e3d99fd1b5e","Others"
"00b6818270f800163b29e1c389c5cf6d","Cryosphere"
"00bcb406874bfe7f2eeb862d6becd4a7","Cryosphere"
"00be5c16864fd7507c54750afedd7010","Cryosphere"
"00c007d2efe8f57a2097e362d1231c0d","Others"
"00c2d6885da513f858c3cc2c40fef9c3","Others"
"00c5a10f211e2e3804f7ad7ce52a25ff","Others"
"00ce3b68afd781f92d6501e428c83002","Others"
"00d0f6d6eaa45ea6b0978945ff8ff4de","Others"
"00da8319f591a211ae8d75ea7295ff42","Others"
"00dd6163a0ff44c4239904f714411567","Others"
"00de2e273ddfaee4382e2caa68843d9b","Cryosphere"
"00e116ef6689cb91319f1d5cdb5e7756","Others"
"00e3bb14a143afa1ebfd47ac98881d84","Others"
"00e56239990edfae42f5dfbbfcc24fdd","Others"
"00e86432b5081b1606452de46cb8125f","Others"
"00ec65b0f462c78211b5ba55f35338dc","Others"
"00eeb66c256f8ea9974ef191439f9874","Others"
"00f07824a63b6d02c297e0d69a74377c","Cryosphere"
"00f41d2080557f88dfba38f1d67fefd7","Others"
"00fc5c805f18314325fe2f3f780143a0","Others"
"00fcddb551a103201489f6a741ce076d","Others"
"00ff07b4a4d48aec18bfd89759bc52e5","Others"
"01067f23e4f1b3eabbcc07e4ddace274","Others"
"010685833fc68d01a1fb42570a2615d9","Others"
"01089c5febec0da992b1c3f47267b8f4","Others"
"010da73ede54e434f4d0ccbcee320cca","Others"
"0111dd2a35471cc83dcb3caa60b506cc","Others"
"0115d66da7f7ea80bf4ece426a61430c","Others"
"0117a19ee071b740b9c2b029c390e0a4","Others"
"011a0b346b277874d003944fa1991b8d","Others"
"011c1af72df4d0dcb1d15585f23d8de0","Others"
"011cb73256ee1369a9d422c719fc4a63","Others"
"011f3d0193ae9785a61ca59831d7d7d1","Cryosphere"
"0122a79a612777e145748ab640e87180","Cryosphere"
"0123acace89246039da59785daea8358","Cryosphere"
"0125f6d7962a4dded7cedac8f1922640","Cryosphere"
"012641c2b8a88a19147d439750dfda36","Others"
"0126783ed4974808d6f5a22fa99f87a2","Others"
"012d4dc2c2e0dca2229050df3b339664","Others"
"012f8815208831b7547ce0a9163926ed","Others"
"01322c8dc397442cbefa861f75d632de","Others"
"013294676ede34c290a25d5da1d2540d","Cryosphere"
"01353923e2e6219198b8d092099e0d9f","Others"
"013cbc8b085d46e5aa776fb87856f7b5","Others"
"013da50f9a5c603403d04b51a4e8b9d5","Others"
"014278ac84b55fb7d4118babfa14307a","Cryosphere"
"01430c4a69afcbea6f1f5304344692f9","Cryosphere"
"0145feeebdf7f306272c3c6c98a6842b","Others"
