	Study	Sample	Ecosystem	Habitat	Location	Date	Cryosphere	Latitude	Longitude
0	Bergk2019	CH18_S304	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
1	Bergk2019	CH21_S316	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
2	Bergk2019	CH23_S337	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
3	Bergk2019	CH25_S328	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
4	Bergk2019	CH28_S340	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
5	Bergk2019	CH36_S290	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
6	Bergk2019	CH37_S302	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
7	Bergk2019	CH43_S373	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
8	Bergk2019	CH48_S314	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
9	Bergk2019	CH65_S351	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
10	Bergk2019	CH72_S326	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
11	Bergk2019	CH76_S350	Ice/Snow	Snow	Svalbard	01.05.11	Yes	78.933333	11.866667
12	NOMIS	GL1_UP_1A_16S_sed	Freshwater	Glacier-fed stream	Caucasus	22.01.19	Yes	-43.45	170.1753
13	NOMIS	GL6_UP_1A_16S_sed	Freshwater	Glacier-fed stream	Caucasus	30.01.19	Yes	-42.9241	171.5137
14	NOMIS	GL7_UP_1A_16S_sed	Freshwater	Glacier-fed stream	Caucasus	30.01.19	Yes	-42.9241	171.5137
15	NOMIS	GL17_UP_1A_16S_sed	Freshwater	Glacier-fed stream	New Zealand	23.02.19	Yes	-43.6891	170.0822
16	NOMIS	GL19_UP_1A_16S_sed	Freshwater	Glacier-fed stream	New Zealand	27.02.19	Yes	-43.8172	169.9336
17	NOMIS	GL20_UP_1A_16S_sed	Freshwater	Glacier-fed stream	New Zealand	27.02.19	Yes	-43.8172	169.9336
18	NOMIS	GL43_UP_1_16S_sed	Freshwater	Glacier-fed stream	New Zealand	09.09.19	Yes	43.1057	43.1318
19	NOMIS	GL51_UP_3_16S_sed	Freshwater	Glacier-fed stream	New Zealand	22.09.19	Yes	43.2099	42.7242
20	NOMIS	GL54_UP_1_16S_sed	Freshwater	Glacier-fed stream	New Zealand	25.09.19	Yes	43.2721	42.4468
21	NOMIS	GL56_UP_1_16S_sed	Freshwater	Glacier-fed stream	New Zealand	02.10.19	Yes	43.2617	41.6102
22	PRJDB9246	DRR205714	Freshwater	Mat	Antarctica	24.12.18	Yes	-69.25	39.728
