	ClusterID	Centroid	Sample_n	Seq_n	Samples	Sequences
0	Cluster_3	Unassigned_SRR5275904_103664	5	10	SRR5275904,SRR5275908,SRR5275906,SRR5275903,SRR5275907	SRR5275904_103664,SRR5275908_113937,SRR5275906_518605,SRR5275903_51172,SRR5275907_552222,SRR5275904_330298,SRR5275903_456819,SRR5275906_505974,SRR5275907_249755,SRR5275908_213892
1	Cluster_16	Unassigned_SRR5275903_205079	7	11	SRR5275903,SRR5275907,SRR5275902,SRR5275925,SRR5275919,SRR5275927,SRR5275897	SRR5275903_205079,SRR5275907_70219,SRR5275902_16410,SRR5275925_364934,SRR5275925_549190,SRR5275925_705875,SRR5275919_247097,SRR5275927_382527,SRR5275919_149786,SRR5275897_5868,SRR5275927_209619
2	Cluster_18	Unassigned_SRR5275900_58274	11	27	SRR5275900,SRR5275897,SRR5275907,SRR5275919,SRR5275927,SRR5275903,SRR5275902,SRR5275906,SRR5275925,SRR5275908,SRR5275904	SRR5275900_58274,SRR5275897_197830,SRR5275907_373676,SRR5275907_547943,SRR5275919_586370,SRR5275927_324949,SRR5275897_4617,SRR5275903_435567,SRR5275907_38627,SRR5275902_184345,SRR5275903_478500,SRR5275906_564713,SRR5275903_350876,SRR5275925_315048,SRR5275919_637108,SRR5275908_464362,SRR5275907_192422,SRR5275919_365589,SRR5275903_326358,SRR5275904_3095,SRR5275908_45794,SRR5275925_514515,SRR5275919_422646,SRR5275908_178467,SRR5275897_170035,SRR5275900_144004,SRR5275919_42218
3	Cluster_21	Unassigned_SRR5275902_205286	6	12	SRR5275902,SRR5275903,SRR5275904,SRR5275897,SRR5275906,SRR5275908	SRR5275902_205286,SRR5275903_42665,SRR5275904_88442,SRR5275904_25845,SRR5275897_282452,SRR5275906_478408,SRR5275906_550915,SRR5275908_512562,SRR5275908_163965,SRR5275903_246533,SRR5275897_124219,SRR5275902_308846
4	Cluster_23	Unassigned_SRR5275900_50096	12	37	SRR5275900,SRR5275908,SRR5275904,SRR5275897,SRR5275907,SRR5275927,SRR11602038,SRR5275903,SRR5275906,SRR5275902,SRR5275919,SRR5275925	SRR5275900_50096,SRR5275908_260659,SRR5275904_185610,SRR5275897_105583,SRR5275907_386294,SRR5275927_241911,SRR11602038_472088,SRR5275903_128125,SRR5275906_364208,SRR11602038_53403,SRR5275903_74875,SRR5275907_283427,SRR5275900_573398,SRR5275900_45533,SRR5275902_498470,SRR5275902_149357,SRR5275927_356687,SRR5275900_406911,SRR5275919_381293,SRR11602038_178787,SRR5275902_489333,SRR5275906_258464,SRR5275906_444339,SRR5275902_444744,SRR5275903_337869,SRR5275903_416459,SRR5275897_288519,SRR5275904_139591,SRR5275900_77910,SRR5275927_489266,SRR5275925_716367,SRR5275902_529273,SRR5275925_423652,SRR5275907_162356,SRR5275900_177582,SRR5275904_103244,SRR5275900_274639
5	Cluster_25	Unassigned_SRR5275900_315864	6	12	SRR5275900,SRR5275906,SRR5275902,SRR5275904,SRR5275897,SRR5275927	SRR5275900_315864,SRR5275906_318437,SRR5275902_30981,SRR5275904_268610,SRR5275897_21371,SRR5275906_286209,SRR5275902_371212,SRR5275900_454676,SRR5275904_435253,SRR5275897_72258,SRR5275927_11932,SRR5275900_180816
6	Cluster_26	Unassigned_SRR5275904_252356	6	12	SRR5275904,SRR5275903,SRR5275907,SRR5275900,SRR5275908,SRR5275919	SRR5275904_252356,SRR5275903_431433,SRR5275907_482792,SRR5275900_97994,SRR5275907_540711,SRR5275900_612146,SRR5275908_422002,SRR5275904_490059,SRR5275903_321645,SRR5275919_91551,SRR5275919_268635,SRR5275908_219712
7	Cluster_43	Unassigned_SRR5275903_411395	6	10	SRR5275903,SRR5275897,SRR5275919,SRR5275907,SRR5275904,SRR5275902	SRR5275903_411395,SRR5275897_90400,SRR5275897_81006,SRR5275919_319841,SRR5275903_322554,SRR5275919_225312,SRR5275907_224567,SRR5275907_381814,SRR5275904_275682,SRR5275902_3785
8	Cluster_45	Unassigned_SRR5275927_558771	11	18	SRR5275927,SRR5275925,SRR5275906,SRR5275919,SRR5275908,SRR5275904,SRR5275900,SRR5275903,SRR5275907,SRR5275902,SRR5275897	SRR5275927_558771,SRR5275925_90692,SRR5275906_251651,SRR5275919_453524,SRR5275908_10315,SRR5275904_54002,SRR5275900_155037,SRR5275903_31693,SRR5275904_523066,SRR5275907_272132,SRR5275907_491725,SRR5275900_41419,SRR5275908_452577,SRR5275902_535025,SRR5275897_421077,SRR5275919_255755,SRR5275902_226851,SRR5275906_573055
9	Cluster_56	Unassigned_SRR5275919_419429	10	17	SRR5275919,SRR5275902,SRR5275927,SRR5275897,SRR5275903,SRR5275925,SRR5275907,SRR5275906,SRR5275908,SRR5275900	SRR5275919_419429,SRR5275902_32388,SRR5275927_622589,SRR5275897_466788,SRR5275903_178614,SRR5275925_416866,SRR5275902_171075,SRR5275907_364215,SRR5275906_123330,SRR5275903_348888,SRR5275902_230856,SRR5275907_365507,SRR5275908_38659,SRR5275900_404666,SRR5275908_144190,SRR5275903_409651,SRR5275897_468636
